[20:21:23] [INFO] received Windows console close event; shutting log-core down
[00:53:26] [INFO] received Windows console close event; shutting log-core down
[01:20:08] [INFO] received Windows console close event; shutting log-core down
[01:32:51] [INFO] received Windows console close event; shutting log-core down
[01:37:11] [INFO] received Windows console close event; shutting log-core down
[01:40:14] [INFO] received Windows console close event; shutting log-core down
[12:48:51] [INFO] received Windows console close event; shutting log-core down
[12:50:16] [INFO] received Windows console close event; shutting log-core down
[12:52:10] [INFO] received Windows console close event; shutting log-core down
[12:58:15] [INFO] received Windows console close event; shutting log-core down
[13:05:18] [INFO] received Windows console close event; shutting log-core down
[15:11:04] [INFO] received Windows console close event; shutting log-core down
[15:52:41] [INFO] received Windows console close event; shutting log-core down
[15:55:01] [INFO] received Windows console close event; shutting log-core down
[17:25:04] [INFO] received Windows console close event; shutting log-core down
[17:27:39] [INFO] received Windows console close event; shutting log-core down
[14/05/2023 11:02:34] [INFO] received Windows console close event; shutting log-core down
[14/05/2023 11:02:50] [INFO] received Windows console close event; shutting log-core down
[14/05/2023 11:05:45] [INFO] received Windows console close event; shutting log-core down
[02/09/2023 20:16:05] [INFO] received Windows console close event; shutting log-core down
[02/09/2023 20:17:13] [INFO] received Windows console close event; shutting log-core down
[02/09/2023 20:19:26] [INFO] received Windows console close event; shutting log-core down
[14/12/2023 19:52:33] [INFO] received Windows console close event; shutting log-core down
[14/12/2023 19:53:28] [INFO] received Windows console close event; shutting log-core down
[14/12/2023 22:27:00] [INFO] received Windows console close event; shutting log-core down
[14/12/2023 23:11:32] [INFO] received Windows console close event; shutting log-core down
[15/12/2023 15:16:17] [INFO] received Windows console close event; shutting log-core down
[24/12/2024 13:54:33] [INFO] received Windows console close event; shutting log-core down
[24/12/2024 15:16:49] [INFO] received Windows console close event; shutting log-core down
[24/12/2024 19:57:22] [INFO] received Windows console close event; shutting log-core down
[24/12/2024 19:57:26] [INFO] received Windows console close event; shutting log-core down
[26/12/2024 23:33:55] [INFO] received Windows console close event; shutting log-core down
[26/12/2024 23:34:45] [INFO] received Windows console close event; shutting log-core down
[26/12/2024 23:38:28] [INFO] received Windows console close event; shutting log-core down
[26/12/2024 23:53:14] [INFO] received Windows console close event; shutting log-core down
[26/12/2024 23:55:06] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:02:55] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:03:43] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:04:17] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:06:11] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:07:41] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:09:05] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:25:40] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:31:02] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 00:31:10] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 10:43:48] [INFO] received Windows console close event; shutting log-core down
[27/12/2024 11:25:46] [INFO] received Windows console close event; shutting log-core down
